retailer,invoice_date,region,state,city,product,price_per_unit,units_sold,revenue,profit,sales_method,profit_margin
Foot Locker,2021-11-06,Southeast,South Carolina,Charleston,Men's Street Footwear,50,278,13900,792,Online,5.7
Foot Locker,2020-03-14,Northeast,New York,New York,Men's Apparel,46,278,12788,435,Outlet,3.4
West Gear,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,47,278,13066,287,Outlet,2.2
Walmart,2021-06-17,Southeast,Florida,Orlando,Women's Apparel,103,218,22454,1257,Online,5.6
Sports Direct,2021-09-14,South,Alabama,Birmingham,Women's Street Footwear,36,278,10008,530,Outlet,5.3
West Gear,2021-07-06,West,Idaho,Boise,Women's Street Footwear,34,278,9452,397,Outlet,4.2
West Gear,2021-01-12,West,California,San Francisco,Men's Street Footwear,56,277,15512,698,Online,4.5
Foot Locker,2020-01-21,Northeast,New York,New York,Women's Street Footwear,36,276,9936,467,Online,4.7
Walmart,2020-08-17,South,Texas,Houston,Women's Apparel,37,276,10212,643,Online,6.3
West Gear,2021-07-16,South,Louisiana,New Orleans,Women's Apparel,103,163,16789,806,Online,4.8
Sports Direct,2021-08-25,South,Alabama,Birmingham,Men's Street Footwear,10,700,7000,3150,Outlet,45.0
Sports Direct,2021-03-02,Southeast,North Carolina,Charlotte,Men's Street Footwear,28,276,7728,417,Online,5.4
Sports Direct,2021-08-23,South,Alabama,Birmingham,Men's Apparel,25,275,6875,2750,Outlet,40.0
Sports Direct,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,15,575,8625,3881,Outlet,45.0
Sports Direct,2021-08-21,South,Alabama,Birmingham,Women's Street Footwear,15,475,7125,3206,Outlet,45.0
West Gear,2021-01-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15,475,7125,2494,In-store,35.0
Sports Direct,2021-11-17,South,Mississippi,Jackson,Men's Athletic Footwear,20,450,9000,3150,Online,35.0
Sports Direct,2021-01-23,South,Mississippi,Jackson,Women's Street Footwear,15,450,6750,2700,Online,40.0
West Gear,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20,450,9000,2700,In-store,30.0
Foot Locker,2020-03-10,Northeast,New York,New York,Men's Street Footwear,44,434,19096,993,Outlet,5.2
Foot Locker,2021-01-18,Midwest,Michigan,Detroit,Women's Athletic Footwear,25,275,6875,2750,In-store,40.0
Foot Locker,2021-04-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,30,275,8250,2888,In-store,35.01
Foot Locker,2021-04-18,Midwest,Missouri,St. Louis,Women's Street Footwear,20,275,5500,1925,In-store,35.0
Foot Locker,2021-09-19,Midwest,Missouri,St. Louis,Women's Athletic Footwear,15,275,4125,1650,In-store,40.0
Foot Locker,2021-09-19,Midwest,Missouri,St. Louis,Men's Apparel,25,275,6875,2406,In-store,35.0
West Gear,2021-05-12,West,Utah,Salt Lake City,Women's Athletic Footwear,25,275,6875,2750,In-store,40.0
West Gear,2021-10-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20,275,5500,2200,In-store,40.0
West Gear,2021-10-11,West,Utah,Salt Lake City,Men's Apparel,30,275,8250,2888,In-store,35.01
Foot Locker,2021-03-16,South,Mississippi,Jackson,Women's Athletic Footwear,20,275,5500,2200,Online,40.0
Walmart,2021-10-21,South,Arkansas,Little Rock,Women's Athletic Footwear,20,275,5500,2200,Online,40.0
Walmart,2021-10-21,South,Arkansas,Little Rock,Men's Apparel,30,275,8250,2888,Online,35.01
West Gear,2021-02-21,South,Arkansas,Little Rock,Men's Athletic Footwear,25,275,6875,2406,Online,35.0
West Gear,2021-03-19,South,Oklahoma,Oklahoma City,Women's Street Footwear,10,275,2750,1100,Online,40.0
